date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:35	1287/1287	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2026%20Feb%202018%2008:42:35%20GMT	https://the-wall-cricket.herokuapp.com/robots.txt		(from )
14:12:44	21709/21709	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:42:43%20GMT	https://the-wall-cricket.herokuapp.com/	the-wall-cricket.herokuapp.com/index.html	(from )
14:12:46	105356/105356	---M--	200	added ('OK')	text/css	etag:%221519575786.0-105356-1302269962%22	https://the-wall-cricket.herokuapp.com/static/stylesheets/bootstrap.min.css	the-wall-cricket.herokuapp.com/static/stylesheets/bootstrap.min.css	(from https://the-wall-cricket.herokuapp.com/)
14:12:46	30999/30999	---M--	200	added ('OK')	text/css	etag:%221519575786.0-30999-2096435457%22	https://the-wall-cricket.herokuapp.com/static/stylesheets/font-awesome.min.css	the-wall-cricket.herokuapp.com/static/stylesheets/font-awesome.min.css	(from https://the-wall-cricket.herokuapp.com/)
14:12:47	2066/2066	---M--	200	added ('OK')	text/css	etag:%221519575786.0-2066-3619294443%22	https://the-wall-cricket.herokuapp.com/static/stylesheets/style.css	the-wall-cricket.herokuapp.com/static/stylesheets/style.css	(from https://the-wall-cricket.herokuapp.com/)
14:12:48	36029/36029	---M--	200	added ('OK')	text/css	etag:%221519575786.0-36029-248581733%22	https://the-wall-cricket.herokuapp.com/static/stylesheets/jquery-ui.css	the-wall-cricket.herokuapp.com/static/stylesheets/jquery-ui.css	(from https://the-wall-cricket.herokuapp.com/)
14:12:49	103338/103338	---M--	200	added ('OK')	image/png	etag:%221519575786.0-103338-514854395%22	https://the-wall-cricket.herokuapp.com/static/images/rahul-dravid-174.png	the-wall-cricket.herokuapp.com/static/images/rahul-dravid-174.png	(from https://the-wall-cricket.herokuapp.com/)
14:12:49	323376/323376	---M--	200	added ('OK')	image/png	etag:%221519575786.0-323376-3926461724%22	https://the-wall-cricket.herokuapp.com/static/images/cricket-ball.png	the-wall-cricket.herokuapp.com/static/images/cricket-ball.png	(from https://the-wall-cricket.herokuapp.com/)
14:12:51	16127/16127	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:42:50%20GMT	https://the-wall-cricket.herokuapp.com/News	the-wall-cricket.herokuapp.com/News.html	(from https://the-wall-cricket.herokuapp.com/)
14:12:52	11825/11825	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:42:52%20GMT	https://the-wall-cricket.herokuapp.com/Blogs	the-wall-cricket.herokuapp.com/Blogs.html	(from https://the-wall-cricket.herokuapp.com/)
14:12:55	20008/20008	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:42:54%20GMT	https://the-wall-cricket.herokuapp.com/Rankings	the-wall-cricket.herokuapp.com/Rankings.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:02	18847/18847	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:01%20GMT	https://the-wall-cricket.herokuapp.com/playersratting	the-wall-cricket.herokuapp.com/playersratting.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:05	20697/20697	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:05%20GMT	https://the-wall-cricket.herokuapp.com/womensratting	the-wall-cricket.herokuapp.com/womensratting.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:07	12960/12960	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:06%20GMT	https://the-wall-cricket.herokuapp.com/Points-Table	the-wall-cricket.herokuapp.com/Points-Table.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:07	3969/3969	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:07%20GMT	https://the-wall-cricket.herokuapp.com/Photos	the-wall-cricket.herokuapp.com/Photos.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:08	3726/3726	---M--	200	added ('OK')	image/png	etag:%221519575786.0-3726-1985022231%22	https://the-wall-cricket.herokuapp.com/static/images/NZ.png	the-wall-cricket.herokuapp.com/static/images/NZ.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:08	1191/1191	---M--	200	added ('OK')	image/png	etag:%221519575786.0-1191-2127628617%22	https://the-wall-cricket.herokuapp.com/static/images/ENG.png	the-wall-cricket.herokuapp.com/static/images/ENG.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:09	104694/104694	---M--	200	added ('OK')	image/png	etag:%221519575786.0-104694-1978927365%22	https://the-wall-cricket.herokuapp.com/static/images/KK.png	the-wall-cricket.herokuapp.com/static/images/KK.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:10	64747/64747	---M--	200	added ('OK')	image/png	etag:%221519575786.0-64747-2140866924%22	https://the-wall-cricket.herokuapp.com/static/images/PSZ.png	the-wall-cricket.herokuapp.com/static/images/PSZ.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:11	71754/71754	---M--	200	added ('OK')	image/png	etag:%221519575786.0-71754-2136017248%22	https://the-wall-cricket.herokuapp.com/static/images/ISU.png	the-wall-cricket.herokuapp.com/static/images/ISU.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:11	14976/14976	---M--	200	added ('OK')	image/png	etag:%221519575786.0-14976-2705459947%22	https://the-wall-cricket.herokuapp.com/static/images/reddit.png	the-wall-cricket.herokuapp.com/static/images/reddit.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:11	184093/184093	---M--	200	added ('OK')	image/png	etag:%221519575786.0-184093-1982335247%22	https://the-wall-cricket.herokuapp.com/static/images/MS.png	the-wall-cricket.herokuapp.com/static/images/MS.png	(from https://the-wall-cricket.herokuapp.com/)
14:13:15	18164/18164	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:15%20GMT	https://the-wall-cricket.herokuapp.com/Scorecard/1	the-wall-cricket.herokuapp.com/Scorecard/1.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:21	11949/11949	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:21%20GMT	https://the-wall-cricket.herokuapp.com/Commentary/1	the-wall-cricket.herokuapp.com/Commentary/1.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:26	18205/18205	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:26%20GMT	https://the-wall-cricket.herokuapp.com/Scorecard/2	the-wall-cricket.herokuapp.com/Scorecard/2.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:32	9975/9975	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:32%20GMT	https://the-wall-cricket.herokuapp.com/Commentary/2	the-wall-cricket.herokuapp.com/Commentary/2.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:37	18080/18080	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:36%20GMT	https://the-wall-cricket.herokuapp.com/Scorecard/3	the-wall-cricket.herokuapp.com/Scorecard/3.html	(from https://the-wall-cricket.herokuapp.com/)
14:13:44	9044/9044	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2008:43:44%20GMT	https://the-wall-cricket.herokuapp.com/Commentary/3	the-wall-cricket.herokuapp.com/Commentary/3.html	(from https://the-wall-cricket.herokuapp.com/)
